Member state,Date of admission,See also
 Afghanistan ,19.Nov.46,United Nations Assistance Mission in Afghanistan 
 Albania ,14.Dec.55, 
 Algeria ,08.Oct.62, 
 Andorra ,28.Jul.93, 
 Angola ,01.Dec.76, 
 Antigua and Barbuda ,11.Nov.81, 
 Argentina ,24.Oct.45, 
 Armenia ,02.Mar.92,Former member: Union of Soviet Socialist Republics (original member) 
 Australia ,01.Nov.45,Australia and the United Nations 
 Austria ,14.Dec.55, 
 Azerbaijan ,02.Mar.92,Former member: Union of Soviet Socialist Republics (original member) 
 Bahamas ,18.Sep.73, 
 Bahrain ,21.Sep.71, 
 Bangladesh ,17.Sep.74, 
 Barbados ,09.Dec.66, 
 Belarus ,24.Oct.45,Former member: Byelorussian Soviet Socialist Republic 
 Belgium ,27.Dec.45, 
 Belize ,25.Sep.81, 
 Benin[note 1] ,20.Sep.60, 
 Bhutan ,21.Sep.71, 
 Bolivia (Plurinational State of)[note 2] ,14.Nov.45, 
 Bosnia and Herzegovina ,22.May.92,Former member: Yugoslavia (original member) 
 Botswana ,17.Oct.66, 
 Brazil ,24.Oct.45,Brazil and the United Nations 
 Brunei Darussalam ,21.Sep.84, 
 Bulgaria ,14.Dec.55, 
 Burkina Faso[note 3] ,20.Sep.60, 
 Burundi ,18.Sep.62, 
 Cabo Verde[note 4] ,16.Sep.75, 
 Cambodia[note 5] ,14.Dec.55, 
 Cameroon[note 6] ,20.Sep.60, 
 Canada ,09.Nov.45,Canada and the United Nations 
 Central African Republic[note 7] ,20.Sep.60, 
 Chad ,20.Sep.60, 
 Chile ,24.Oct.45, 
 China ,24.Oct.45,Former member: Republic of China and China and the United Nations 
 Colombia ,05.Nov.45, 
 Comoros ,12.Nov.75, 
 Congo[note 8] ,20.Sep.60, 
 Costa Rica ,02.Nov.45,Costa Rica in the United Nations 
 Côte d'Ivoire[note 9] ,20.Sep.60, 
 Croatia ,22.May.92,Former member: Yugoslavia (original member) 
 Cuba ,24.Oct.45, 
 Cyprus ,20.Sep.60, 
 Czech Republic ,19.Jan.93,Former member: Czechoslovakia (original member) 
 Democratic People's Republic of Korea ,17.Sep.91,Korea and the United Nations 
 Democratic Republic of the Congo[note 10] ,20.Sep.60, 
 Denmark ,24.Oct.45, 
 Djibouti ,20.Sep.77, 
 Dominica ,18.Dec.78, 
 Dominican Republic ,24.Oct.45, 
 Ecuador ,21.Dec.45, 
 Egypt ,24.Oct.45,Former member: United Arab Republic 
 El Salvador ,24.Oct.45, 
 Equatorial Guinea ,12.Nov.68, 
 Eritrea ,28.May.93, 
 Estonia ,17.Sep.91,Former member: Union of Soviet Socialist Republics (original member) 
 Eswatini[note 11] ,24.Sep.68, 
 Ethiopia ,13.Nov.45, 
 Fiji ,13.Oct.70,Fiji and the United Nations 
 Finland ,14.Dec.55, 
 France ,24.Oct.45,France and the United Nations 
 Gabon ,20.Sep.60, 
 Gambia ,21.Sep.65, 
 Georgia ,31.Jul.92,Former member: Union of Soviet Socialist Republics (original member) 
 Germany ,18.Sep.73,Former member: German Democratic Republic and Germany and the United Nations 
 Ghana ,08.Mar.57, 
 Greece ,25.Oct.45, 
 Grenada ,17.Sep.74, 
 Guatemala ,21.Nov.45, 
 Guinea ,12.Dec.58, 
 Guinea-Bissau ,17.Sep.74, 
 Guyana ,20.Sep.66, 
 Haiti ,24.Oct.45, 
 Honduras ,17.Dec.45, 
 Hungary ,14.Dec.55, 
 Iceland ,19.Nov.46, 
 India ,30.Oct.45,India and the United Nations 
 Indonesia[note 12] ,28.Sep.50,Withdrawal of Indonesia (1965–1966) and Indonesia and the United Nations 
 Iran (Islamic Republic of)[note 13] ,24.Oct.45, 
 Iraq ,21.Dec.45, 
 Ireland ,14.Dec.55, 
 Israel ,11.May.49,"Israel, Palestine, and the United Nations "
 Italy ,14.Dec.55, 
 Jamaica ,18.Sep.62, 
 Japan ,18.Dec.56,Japan and the United Nations 
 Jordan ,14.Dec.55, 
 Kazakhstan[note 14] ,02.Mar.92,Former member: Union of Soviet Socialist Republics (original member) 
 Kenya ,16.Dec.63, 
 Kiribati ,14.Sep.99, 
 Kuwait ,14.May.63, 
 Kyrgyzstan ,02.Mar.92,Former member: Union of Soviet Socialist Republics (original member) 
 Lao People's Democratic Republic[note 15] ,14.Dec.55, 
 Latvia ,17.Sep.91,Former member: Union of Soviet Socialist Republics (original member) 
 Lebanon ,24.Oct.45, 
 Lesotho ,17.Oct.66, 
 Liberia ,02.Nov.45, 
 Libya[note 16] ,14.Dec.55, 
 Liechtenstein ,18.Sep.90, 
 Lithuania ,17.Sep.91,Former member: Union of Soviet Socialist Republics (original member) 
 Luxembourg ,24.Oct.45,Luxembourg and the United Nations 
 Madagascar ,20.Sep.60, 
 Malawi ,01.Dec.64, 
 Malaysia ,17.Sep.57,Former member: Federation of Malaya and Malaysia and the United Nations 
 Maldives[note 17] ,21.Sep.65, 
 Mali ,28.Sep.60, 
 Malta ,01.Dec.64, 
 Marshall Islands ,17.Sep.91,Marshall Islands and the United Nations 
 Mauritania ,27.Oct.61, 
 Mauritius ,24.Apr.68, 
 Mexico ,07.Nov.45,Mexico and the United Nations 
 Micronesia (Federated States of) ,17.Sep.91,Federated States of Micronesia and the United Nations 
 Monaco ,28.May.93, 
 Mongolia ,27.Oct.61, 
 Montenegro ,28.Jun.06,"Former member: Yugoslavia (original member), Serbia and Montenegro "
 Morocco ,12.Nov.56, 
 Mozambique ,16.Sep.75, 
 Myanmar[note 18] ,19.Apr.48, 
